Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
0.005001,-88.036735,0.001463,0.000080,-0.002417,-0.000116,-0.000000,-0.000003,-0.000530,-0.026105,-0.000003
0.010001,-88.036728,0.001461,0.000080,-0.002417,-0.000116,-0.000000,-0.000003,-0.000530,-0.026104,-0.000003
0.015001,-88.036721,0.001460,0.000080,-0.002417,-0.000116,-0.000000,-0.000003,-0.000530,-0.026102,-0.000003
0.020001,-88.036713,0.001458,0.000080,-0.002416,-0.000116,-0.000000,-0.000003,-0.000530,-0.026101,-0.000003
0.025001,-88.036706,0.001456,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000530,-0.026100,-0.000003
0.030001,-88.036699,0.001455,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000530,-0.026098,-0.000003
0.035001,-88.036692,0.001453,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000530,-0.026097,-0.000003
0.040001,-88.036684,0.001452,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026096,-0.000003
0.045001,-88.036677,0.001450,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026094,-0.000003
0.050001,-88.036670,0.001449,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026093,-0.000003
0.055001,-88.036663,0.001448,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026092,-0.000003
0.060001,-88.036655,0.001446,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026091,-0.000003
0.065001,-88.036648,0.001445,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026089,-0.000003
0.070001,-88.036641,0.001444,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026088,-0.000003
0.075001,-88.036634,0.001442,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026087,-0.000003
0.080001,-88.036627,0.001441,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026085,-0.000003
0.085001,-88.036619,0.001440,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026084,-0.000003
0.090001,-88.036612,0.001438,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026083,-0.000003
0.095001,-88.036605,0.001437,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026081,-0.000003
0.100001,-88.036598,0.001436,0.000080,-0.002416,-0.000115,-0.000000,-0.000003,-0.000529,-0.026080,-0.000003
