time_ms,humanCai
0.000,0.166
0.001,0.166
0.002,0.165
0.003,0.165
0.004,0.164
0.005,0.164
0.006,0.165
0.007,0.166
0.008,0.17
0.009,0.175
0.010,0.181
0.011,0.188
0.012,0.196
0.013,0.205
0.014,0.215
0.015,0.225
0.016,0.235
0.017,0.247
0.018,0.259
0.019,0.27
0.020,0.28
0.021,0.289
0.022,0.297
0.023,0.304
0.024,0.312
0.025,0.319
0.026,0.328
0.027,0.336
0.028,0.345
0.029,0.353
0.030,0.359
0.031,0.364
0.032,0.368
0.033,0.373
0.034,0.377
0.035,0.382
0.036,0.388
0.037,0.394
0.038,0.401
0.039,0.408
0.040,0.413
0.041,0.416
0.042,0.42
0.043,0.423
0.044,0.427
0.045,0.432
0.046,0.438
0.047,0.444
0.048,0.45
0.049,0.455
0.050,0.46
0.051,0.463
0.052,0.465
0.053,0.468
0.054,0.47
0.055,0.475
0.056,0.48
0.057,0.485
0.058,0.491
0.059,0.496
0.060,0.499
0.061,0.502
0.062,0.504
0.063,0.504
0.064,0.506
0.065,0.51
0.066,0.513
0.067,0.519
0.068,0.524
0.069,0.529
0.070,0.531
0.071,0.532
0.072,0.532
0.073,0.532
0.074,0.533
0.075,0.535
0.076,0.538
0.077,0.543
0.078,0.547
0.079,0.551
0.080,0.554
0.081,0.554
0.082,0.554
0.083,0.554
0.084,0.553
0.085,0.555
0.086,0.559
0.087,0.561
0.088,0.565
0.089,0.568
0.090,0.57
0.091,0.569
0.092,0.568
0.093,0.568
0.094,0.566
0.095,0.567
0.096,0.57
0.097,0.574
0.098,0.577
0.099,0.581
0.100,0.581
0.101,0.581
0.102,0.579
0.103,0.578
0.104,0.578
0.105,0.578
0.106,0.579
0.107,0.582
0.108,0.586
0.109,0.588
0.110,0.588
0.111,0.587
0.112,0.585
0.113,0.583
0.114,0.581
0.115,0.58
0.116,0.583
0.117,0.587
0.118,0.59
0.119,0.593
0.120,0.593
0.121,0.592
0.122,0.59
0.123,0.586
0.124,0.584
0.125,0.585
0.126,0.586
0.127,0.59
0.128,0.592
0.129,0.594
0.130,0.593
0.131,0.593
0.132,0.59
0.133,0.588
0.134,0.586
0.135,0.586
0.136,0.587
0.137,0.589
0.138,0.592
0.139,0.594
0.140,0.593
0.141,0.591
0.142,0.589
0.143,0.586
0.144,0.584
0.145,0.583
0.146,0.585
0.147,0.587
0.148,0.589
0.149,0.591
0.150,0.589
0.151,0.588
0.152,0.585
0.153,0.582
0.154,0.58
0.155,0.579
0.156,0.58
0.157,0.582
0.158,0.585
0.159,0.587
0.160,0.586
0.161,0.584
0.162,0.581
0.163,0.579
0.164,0.578
0.165,0.577
0.166,0.578
0.167,0.58
0.168,0.581
0.169,0.583
0.170,0.581
0.171,0.579
0.172,0.576
0.173,0.572
0.174,0.57
0.175,0.569
0.176,0.572
0.177,0.574
0.178,0.576
0.179,0.578
0.180,0.577
0.181,0.574
0.182,0.572
0.183,0.569
0.184,0.567
0.185,0.566
0.186,0.567
0.187,0.569
0.188,0.57
0.189,0.57
0.190,0.569
0.191,0.567
0.192,0.563
0.193,0.56
0.194,0.558
0.195,0.557
0.196,0.558
0.197,0.559
0.198,0.561
0.199,0.562
0.200,0.563
0.201,0.56
0.202,0.557
0.203,0.554
0.204,0.551
0.205,0.55
0.206,0.55
0.207,0.552
0.208,0.553
0.209,0.555
0.210,0.553
0.211,0.55
0.212,0.546
0.213,0.544
0.214,0.541
0.215,0.541
0.216,0.542
0.217,0.543
0.218,0.545
0.219,0.545
0.220,0.543
0.221,0.541
0.222,0.537
0.223,0.534
0.224,0.531
0.225,0.531
0.226,0.53
0.227,0.532
0.228,0.534
0.229,0.535
0.230,0.533
0.231,0.53
0.232,0.527
0.233,0.523
0.234,0.52
0.235,0.518
0.236,0.518
0.237,0.519
0.238,0.521
0.239,0.521
0.240,0.52
0.241,0.518
0.242,0.515
0.243,0.512
0.244,0.509
0.245,0.508
0.246,0.508
0.247,0.508
0.248,0.51
0.249,0.51
0.250,0.508
0.251,0.505
0.252,0.502
0.253,0.499
0.254,0.497
0.255,0.496
0.256,0.496
0.257,0.496
0.258,0.496
0.259,0.496
0.260,0.496
0.261,0.493
0.262,0.49
0.263,0.486
0.264,0.484
0.265,0.483
0.266,0.483
0.267,0.483
0.268,0.484
0.269,0.483
0.270,0.481
0.271,0.479
0.272,0.476
0.273,0.472
0.274,0.469
0.275,0.467
0.276,0.467
0.277,0.467
0.278,0.468
0.279,0.469
0.280,0.466
0.281,0.464
0.282,0.46
0.283,0.457
0.284,0.454
0.285,0.452
0.286,0.453
0.287,0.453
0.288,0.454
0.289,0.454
0.290,0.453
0.291,0.45
0.292,0.447
0.293,0.444
0.294,0.441
0.295,0.439
0.296,0.439
0.297,0.44
0.298,0.441
0.299,0.441
