Time,Vm,dVm/dt,Cai,INa,INaL,ICaL,IKs,IKr,IK1,Ito
0.005001,-88.050468,-0.000800,0.000070,-0.002414,-0.000120,-0.000000,-0.000002,-0.000325,-0.026959,-0.000003
0.010001,-88.050472,-0.000800,0.000070,-0.002413,-0.000120,-0.000000,-0.000002,-0.000325,-0.026960,-0.000003
0.015001,-88.050476,-0.000800,0.000070,-0.002413,-0.000120,-0.000000,-0.000002,-0.000325,-0.026961,-0.000003
0.020001,-88.050480,-0.000800,0.000070,-0.002413,-0.000119,-0.000000,-0.000002,-0.000325,-0.026961,-0.000003
0.025001,-88.050484,-0.000799,0.000070,-0.002413,-0.000119,-0.000000,-0.000002,-0.000325,-0.026962,-0.000003
0.030001,-88.050488,-0.000799,0.000070,-0.002413,-0.000119,-0.000000,-0.000002,-0.000325,-0.026963,-0.000003
0.035001,-88.050492,-0.000798,0.000070,-0.002413,-0.000119,-0.000000,-0.000002,-0.000325,-0.026963,-0.000003
0.040001,-88.050496,-0.000798,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026964,-0.000003
0.045001,-88.050500,-0.000797,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026965,-0.000003
0.050001,-88.050504,-0.000797,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026966,-0.000003
0.055001,-88.050508,-0.000796,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026966,-0.000003
0.060001,-88.050512,-0.000795,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026967,-0.000003
0.065001,-88.050516,-0.000795,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026968,-0.000003
0.070001,-88.050520,-0.000794,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026969,-0.000003
0.075001,-88.050524,-0.000793,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026969,-0.000003
0.080001,-88.050528,-0.000793,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026970,-0.000003
0.085001,-88.050532,-0.000792,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026971,-0.000003
0.090001,-88.050536,-0.000791,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026971,-0.000003
0.095001,-88.050540,-0.000790,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026972,-0.000003
0.100001,-88.050544,-0.000790,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026973,-0.000003
0.105001,-88.050548,-0.000789,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026973,-0.000003
0.110001,-88.050551,-0.000788,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026974,-0.000003
0.115001,-88.050555,-0.000788,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026975,-0.000003
0.120001,-88.050559,-0.000787,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026976,-0.000003
0.125001,-88.050563,-0.000786,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026976,-0.000003
0.130001,-88.050567,-0.000786,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026977,-0.000003
0.135001,-88.050571,-0.000785,0.000070,-0.002412,-0.000119,-0.000000,-0.000002,-0.000325,-0.026978,-0.000003
