ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
2704,0.6954,NA,NA,50490,0.6277,2371,1.984,1947,1.473,12460,2.885,53.1,1.075
2818,0.6409,NA,NA,137200,0.4536,2734,1.225,1802,1.212,12460,2.885,52.07,1.063
3939,0.718,NA,NA,26120,0.8349,3064,1.108,1921,1.421,9611,3.046,50.91,1.01
2077,0.7295,NA,NA,13220,1.184,2681,1.236,2019,1.19,5858,5.368,41.77,1.038
2568,0.704,NA,NA,41920,0.6168,2799,1.103,1897,1.36,5858,5.368,45.9,0.9555
3318,0.5962,NA,NA,67640,0.5535,2626,0.9595,1948,1.29,5480,6.169,56.11,0.9086
2394,0.611,NA,NA,81860,0.5033,2772,1.595,1948,1.353,5480,6.169,51.26,0.9721
2595,0.7116,NA,NA,30400,0.6855,2953,1.595,1645,1.308,5480,6.169,49.58,0.9419
2861,0.644,NA,NA,26600,0.6545,3384,0.9985,1742,1.457,5480,6.169,40.53,1.188
3663,0.6506,NA,NA,163100,0.3869,3181,1.08,1667,1.322,7285,4.168,52.7,1.06
