ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
7708,0.9285,9547,0.7576,NA,NA,4667,2.165,5200,0.931,187900000,0.2804,927.4,0.8659
5812,1.033,9778,0.6401,NA,NA,4112,2.164,4893,0.9325,216900000,0.2513,964.5,0.704
8951,0.7666,8986,0.7125,NA,NA,4261,2.148,5069,0.8207,52690000,0.3198,1027,0.7267
7732,0.9868,7336,0.7337,NA,NA,4873,2.17,4038,0.895,17160000,0.3555,928.3,0.7021
7721,1.113,11170,0.6478,NA,NA,5313,2.036,4398,0.9957,34450000,0.3362,987,0.9078
8945,0.7836,9035,0.7105,NA,NA,4563,2.524,4362,0.9469,3326000,0.4188,1021,0.9067
8067,0.886,8177,0.8049,NA,NA,4365,2.107,4232,0.8025,387200,0.7211,1047,0.8084
9149,0.9729,9753,0.8039,NA,NA,5139,2.049,4649,0.9386,284100,0.8397,853.1,0.7701
9909,0.5859,7063,0.9013,NA,NA,4799,1.587,4496,0.9275,2942000,0.4305,909.6,0.8662
6903,0.9236,8010,0.7059,NA,NA,5523,3.035,4523,0.9336,653800,1.945,1108,0.8095
