ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
719.8,5.258,628,5.789,148100,0.4699,NA,NA,NA,NA,471000,0.2132,9.006,0.839
492400000,5.96,2218,1.597,1167000,0.3622,NA,NA,NA,NA,92050,0.2698,12.78,0.557
2719000,1.071,136400,8.94,1380000,0.4112,NA,NA,NA,NA,405100,0.2001,11.63,0.6406
514500000,8.373,41870,2.524,1380000,0.4112,NA,NA,NA,NA,5e+08,0.1414,16.88,0.5979
19750000,6.677,486400,0.3595,1380000,0.4112,NA,NA,NA,NA,27580,0.3463,14.14,0.5721
195600,0.6972,486400,0.3595,33830000,0.3318,NA,NA,NA,NA,120700,0.2515,10.32,0.6242
21920000,2.137,107400,0.4823,33830000,0.3318,NA,NA,NA,NA,202800,0.2189,12.44,0.5002
14960,7.979,288800,0.3219,33830000,0.3318,NA,NA,NA,NA,25180,0.2981,21.87,0.5105
70290,2.012,396900,0.3719,241100,0.5849,NA,NA,NA,NA,19350,0.3363,13.88,0.7057
32580,4.144,935500,0.3818,106400,6.484,NA,NA,NA,NA,40700,0.2516,12.14,0.6746
