ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
89.69,0.7018,NA,NA,NA,NA,91090,0.7113,20050,0.6317,68980000,0.2041,13600,0.9247
94.14,0.4895,NA,NA,NA,NA,91090,0.7113,19210,0.7724,379800000,0.1931,13400,0.9748
130.5,0.9987,NA,NA,NA,NA,28190,2.137,20360,0.736,4200000,0.285,13750,0.8799
110.5,0.8141,NA,NA,NA,NA,122100,0.6056,18820,0.7802,1.458e+09,0.183,13330,0.9094
83.55,0.8883,NA,NA,NA,NA,299500,0.5012,21920,0.7052,1103000,0.3728,13030,0.9148
142.9,0.9778,NA,NA,NA,NA,282200,0.471,40800,0.4847,91770000,0.2252,12940,0.9307
115.6,0.6772,NA,NA,NA,NA,271500,0.4664,42400,0.5338,261200000,0.1889,12950,0.9391
109.6,0.7523,NA,NA,NA,NA,314600,0.4836,27680,0.5551,3.043e+09,0.2017,12590,0.9518
113.1,0.8585,NA,NA,NA,NA,283700,0.4916,19540,0.8833,3.44e+09,0.1619,13500,0.9601
160.6,0.7883,NA,NA,NA,NA,283700,0.4916,18660,0.7544,1.009e+09,0.1845,13300,0.8918
