ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
29060000,0.5139,17570,0.9403,NA,NA,61340,0.4113,26.52,7.663,180,0.3691,5.506,1.069
229.3,8.492,24340,4.206,NA,NA,4584,0.6293,5871000,9.533,73.05,0.4925,6.535,1.076
13370,1.806,955200000,0.2557,NA,NA,5125,0.6084,80290,5.676,16.3,0.8641,5.478,1.05
53.24,5.07,3210000,0.3392,NA,NA,31.44,2.817,1424000,0.3515,10.57,1.068,6.382,1.107
42560,0.5106,544300,3.164,NA,NA,21.06,3.471,1424000,0.3515,16.54,0.8391,5.682,1.136
42560,0.5106,1.016e+09,9.524,NA,NA,20.02,3.824,1.727e+09,0.1816,14.38,0.9189,6.394,0.9496
42560,0.5106,272600,8.937,NA,NA,25.34,3.797,317400000,0.1754,14.25,0.9956,5.88,1.104
42560,0.5106,6062000,9.531,NA,NA,395200000,3.083,317400000,0.1754,49.22,0.479,5.811,0.9968
178000,0.4881,1.03e+08,7.409,NA,NA,9218,6.551,317400000,0.1754,49.61,0.5495,5.664,1.01
615.7,8.094,1445000,8.782,NA,NA,12.28,5.821,317400000,0.1754,37.22,0.5294,7.218,1.018
