ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
17620,1.799,NA,NA,NA,NA,NA,NA,7047,1.679,NA,NA,28640,0.9474
44740,0.9352,NA,NA,NA,NA,NA,NA,8469,1.537,NA,NA,26740,0.923
32900,1.185,NA,NA,NA,NA,NA,NA,8886,1.675,NA,NA,30170,0.8632
38390,1.045,NA,NA,NA,NA,NA,NA,9152,1.383,NA,NA,29590,0.9416
37760,1.061,NA,NA,NA,NA,NA,NA,9068,1.653,NA,NA,28000,0.9099
28930,1.152,NA,NA,NA,NA,NA,NA,9745,1.313,NA,NA,28700,0.9428
33550,1.13,NA,NA,NA,NA,NA,NA,10150,1.205,NA,NA,28490,0.9068
64500,0.8037,NA,NA,NA,NA,NA,NA,8684,1.993,NA,NA,29030,0.9185
32940,1.057,NA,NA,NA,NA,NA,NA,8447,1.975,NA,NA,34780,0.8171
29600,1.206,NA,NA,NA,NA,NA,NA,9284,1.333,NA,NA,31710,0.9174
