ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
31430,0.7671,NA,NA,608700,0.6107,52130,0.916,24550,0.778,63380,2.892,1361,0.8112
27480,0.8353,NA,NA,320800,0.7782,46570,1.401,21640,1.109,46940,4.915,1286,0.896
19010,0.8637,NA,NA,473900,0.7131,40540,2.113,18960,1.068,69150,5.988,1362,0.9615
22670,0.8274,NA,NA,1004000,0.5621,31410,2.958,19910,0.9559,439600,6.199,1333,0.9302
22340,0.8479,NA,NA,340700,0.7889,23030,3.769,18880,1.237,378800,2.501,1327,0.8993
24370,0.7331,NA,NA,169800,0.969,23350,9.613,18040,1.136,61500,4.627,1438,0.85
21620,0.7344,NA,NA,555100,0.6585,21790,9.737,18680,1.163,2703000,1.406,1314,0.9386
20010,0.8844,NA,NA,1218000,0.5452,23730,8.124,19380,0.9724,265500,5.888,1361,0.8585
24050,0.8215,NA,NA,208900,0.9199,32980,2.588,17360,1.065,107600,2.764,1364,0.9449
21310,0.6483,NA,NA,279200,0.8501,32920,2.069,19370,1.264,145100,2.165,1194,0.8927
