ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
NA,NA,NA,NA,41740,6.847,43420,2.415,7905,0.9957,NA,NA,7374,0.8579
NA,NA,NA,NA,45820,5.765,116100,1.172,6671,0.8347,NA,NA,8025,0.8443
NA,NA,NA,NA,47870,5.499,138800,1,6700,1.357,NA,NA,7799,0.8169
NA,NA,NA,NA,47870,5.499,39640,2.933,6200,1.075,NA,NA,8009,0.8848
NA,NA,NA,NA,65580,3.26,39640,2.77,8867,0.953,NA,NA,7958,0.9107
NA,NA,NA,NA,979300000,0.3579,35670,3.222,7372,1.007,NA,NA,7258,0.7754
NA,NA,NA,NA,384600000,0.4277,29750,5.919,7902,0.8134,NA,NA,7903,0.9048
NA,NA,NA,NA,432400000,0.3981,36930,3.348,8371,0.8853,NA,NA,8048,0.8682
NA,NA,NA,NA,432400000,0.3981,45340,2.232,7764,0.9698,NA,NA,7850,0.8259
NA,NA,NA,NA,67870000,0.4724,65770,1.498,8510,1.086,NA,NA,8585,0.8614
