ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
12540000,0.6677,3180000,1.386,3470000,1.611,9.17e+08,0.5286,NA,NA,606300000,0.4049,100100,0.7166
11850000,0.7488,2675000,1.184,3886000,1.032,9.17e+08,0.5286,NA,NA,247800000,0.427,110600,0.8777
11780000,0.6747,2883000,1.308,4234000,1.23,9.17e+08,0.5286,NA,NA,41180000,0.6315,90200,0.7727
7506000,0.8574,3412000,0.9657,5088000,0.9498,9.17e+08,0.5286,NA,NA,20160000,0.9043,98980,0.7224
5564000,1.062,3501000,1.101,4583000,1.286,27490000,1.464,NA,NA,348200000,0.4105,105200,0.7483
4276000,1.291,2815000,1.35,3818000,1.531,25760000,1.212,NA,NA,94830000,0.5494,96410,0.8494
6187000,0.9552,3584000,1.034,7881000,0.7757,28520000,1.315,NA,NA,126300000,0.5404,105100,0.7228
6652000,0.8548,3439000,1.049,4859000,1.191,100700000,0.8285,NA,NA,2.624e+09,0.3424,88790,0.8906
5464000,1.015,2897000,1.304,4787000,1.065,30400000,1.275,NA,NA,139200000,0.5112,99780,0.8151
6335000,0.9579,3100000,1.024,4405000,1.241,30400000,1.275,NA,NA,45350000,0.6392,100500,0.7076
