Time,Vm,dVm/dt,timestep(dt),Cai(x1.000.000)(milliM->picoM),INa(x1.000)(microA->picoA),INaL(x1.000)(microA->picoA),ICaL(x1.000)(microA->picoA),Ito(x1.000)(microA->picoA),IKr(x1.000)(microA->picoA),IKs(x1.000)(microA->picoA),IK1(x1.000)(microA->picoA)
0.01,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.01,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.02,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.02,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.03,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.03,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.04,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.04,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.05,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.05,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.06,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.06,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.07,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.07,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.08,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.08,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.09,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.09,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.10,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.10,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.11,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.11,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.12,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.12,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.13,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
0.13,-87.81,-0.00,0.01,85,-3,-0,-0,-0,-0,-0,-38
